Symptoms,Disease
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Dengue
"itching, skin rash, burning micturition, spotting  urination",Diabetes
"stomach pain, ulcers on tongue, vomiting, cough, chest pain",Fungal infection
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",GERD
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Common Cold
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Heart attack
"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Common Cold
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Jaundice
"high fever, blister, red sore around nose, yellow crust ooze",Varicose veins
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Urinary tract infection
"itching, skin rash, dischromic  patches,",Diabetes
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Tuberculosis
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Pneumonia
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Dimorphic hemmorhoids(piles)
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",GERD
"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Malaria
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Heart attack
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Dimorphic hemmorhoids(piles)
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Hepatitis E
"chills, vomiting, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",GERD
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",(vertigo) Paroymsal  Positional Vertigo
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Alcoholic hepatitis
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Dimorphic hemmorhoids(piles)
"itching, skin rash, stomach pain, spotting  urination",Typhoid
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Urinary tract infection
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Alcoholic hepatitis
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Cervical spondylosis
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Typhoid
"vomiting, breathlessness, sweating,",Hypothyroidism
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",GERD
"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Paralysis (brain hemorrhage)
"fatigue, cough, high fever, breathlessness, family history",Arthritis
"vomiting, breathlessness, chest pain,",Typhoid
"chills, fatigue, cough, high fever, breathlessness, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Typhoid
"vomiting, headache, nausea, loss of balance, unsteadiness",Arthritis
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Hepatitis B
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,",Varicose veins
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Psoriasis
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Urinary tract infection
"itching, skin rash, dischromic  patches,",Drug Reaction
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Alcoholic hepatitis
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Bronchial Asthma
"vomiting, breathlessness, chest pain,",Common Cold
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Tuberculosis
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Acne
"headache, dizziness, loss of balance, lack of concentration",Cervical spondylosis
"skin rash, pus filled pimples, blackheads, scurring",Jaundice
"vomiting, breathlessness, chest pain,",Hypothyroidism
"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Chicken pox
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Hepatitis E
"vomiting, headache, nausea, loss of balance, unsteadiness","Chronic cholestasis,"
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Impetigo
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",hepatitis A
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Migraine
"itching, stomach pain, burning micturition, spotting  urination",Hepatitis B
"patches in throat, high fever, extra marital contacts,",Psoriasis
"itching, nodal skin eruptions, dischromic  patches,",Alcoholic hepatitis
"itching, nodal skin eruptions, dischromic  patches,",Drug Reaction
"skin rash, pus filled pimples, blackheads,",Hypoglycemia
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis C
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",(vertigo) Paroymsal  Positional Vertigo
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Acne
"skin rash, pus filled pimples, scurring,",Hepatitis D
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Urinary tract infection
"vomiting, breathlessness, chest pain,",Hypothyroidism
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Allergy
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Dengue
"continuous sneezing, shivering, watering from eyes,",Jaundice
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Migraine
"vomiting, breathlessness, sweating, chest pain",Hepatitis B
"vomiting, headache, nausea, spinning movements, unsteadiness",Hepatitis D
"itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Common Cold
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Bronchial Asthma
"muscle wasting, patches in throat, high fever, extra marital contacts",Hypothyroidism
"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Hepatitis B
"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Psoriasis
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",AIDS
"chest pain, dizziness, loss of balance, lack of concentration",Heart attack
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Acne
"skin rash, blackheads, scurring,",Hypoglycemia
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Heart attack
"itching, nodal skin eruptions, dischromic  patches,",Tuberculosis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Impetigo
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Osteoarthristis
"acidity, ulcers on tongue, vomiting, cough, chest pain",Tuberculosis
"skin rash, pus filled pimples, blackheads,",Psoriasis
"itching, skin rash, burning micturition, spotting  urination",Acne
"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Typhoid
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Chicken pox
"continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Hepatitis E
"acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Dimorphic hemmorhoids(piles)
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Typhoid
"muscle wasting, patches in throat, high fever, extra marital contacts",Urinary tract infection
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Osteoarthristis
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Migraine
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Osteoarthristis
"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Urinary tract infection
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Hepatitis B
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Peptic ulcer diseae
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Hepatitis E
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Hepatitis D
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Heart attack
"stomach pain, acidity, ulcers on tongue, vomiting, chest pain",Malaria
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Common Cold
"vomiting, breathlessness, chest pain,",Tuberculosis
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis B
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Jaundice
"fatigue, cough, high fever, breathlessness, family history",Dengue
"continuous sneezing, shivering, chills, watering from eyes",Psoriasis
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Tuberculosis
"weakness in limbs, neck pain, dizziness, loss of balance",Malaria
"fatigue, yellowish skin, nausea, loss of appetite, family history",Osteoarthristis
"skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails",AIDS
"fatigue, yellowish skin, nausea, loss of appetite, family history",Hepatitis D
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Hepatitis D
"muscle wasting, high fever, extra marital contacts,",Pneumonia
"vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload,",Osteoarthristis
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",(vertigo) Paroymsal  Positional Vertigo
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hypothyroidism
"vomiting, headache, nausea, spinning movements, loss of balance",Hypoglycemia
"high fever, blister, red sore around nose, yellow crust ooze",Hepatitis C
"chills, vomiting, sweating, headache, nausea, diarrhoea, muscle pain",Malaria
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria",Urinary tract infection
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Impetigo
"chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hypertension
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Common Cold
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",Urinary tract infection
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hepatitis E
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Malaria
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Chicken pox
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Hepatitis E
"chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Peptic ulcer diseae
"itching, skin rash, stomach pain, burning micturition",Alcoholic hepatitis
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Heart attack
"headache, chest pain, dizziness, loss of balance, lack of concentration",Heart attack
"burning micturition, bladder discomfort, continuous feel of urine,",Osteoarthristis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Drug Reaction
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",(vertigo) Paroymsal  Positional Vertigo
"stomach pain, acidity, vomiting, cough, chest pain",Fungal infection
"vomiting, breathlessness, sweating,",Fungal infection
"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Psoriasis
"vomiting, headache, nausea, loss of balance, unsteadiness",Heart attack
"muscle weakness, stiff neck, movement stiffness, painful walking",Migraine
"stomach pain, acidity, vomiting, cough, chest pain",Typhoid
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Hypothyroidism
"skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body,",Allergy
"vomiting, breathlessness, sweating,",Hypothyroidism
"fatigue, yellowish skin, nausea, loss of appetite, family history",Alcoholic hepatitis
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",hepatitis A
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Pneumonia
"weakness in limbs, neck pain, dizziness, loss of balance",Hepatitis E
"joint pain, neck pain, knee pain, hip joint pain, painful walking",Psoriasis
"continuous sneezing, shivering, chills, watering from eyes",(vertigo) Paroymsal  Positional Vertigo
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Drug Reaction
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Urinary tract infection
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",AIDS
"muscle wasting, patches in throat, high fever, extra marital contacts",Osteoarthristis
"acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Urinary tract infection
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hepatitis B
"itching, skin rash, burning micturition, spotting  urination",Bronchial Asthma
"vomiting, breathlessness, chest pain,",Hepatitis E
"skin rash, stomach pain, burning micturition, spotting  urination",Common Cold
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Hypothyroidism
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Impetigo
"constipation, pain during bowel movements, bloody stool, irritation in anus",Tuberculosis
"muscle weakness, stiff neck, swelling joints, movement stiffness",Allergy
"vomiting, breathlessness, chest pain,",Hepatitis D
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Alcoholic hepatitis
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Osteoarthristis
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis B
"constipation, pain during bowel movements, pain in anal region, bloody stool",Hypothyroidism
"joint pain, neck pain, hip joint pain, swelling joints, painful walking",Heart attack
"headache, chest pain, dizziness, lack of concentration",Allergy
"vomiting, headache, nausea, spinning movements, loss of balance",Hepatitis C
"skin rash, blackheads, scurring,",Paralysis (brain hemorrhage)
"continuous sneezing, chills, fatigue, cough, high fever, headache, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Hepatitis C
"fatigue, cough, high fever, family history, mucoid sputum",Jaundice
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Migraine
"vomiting, breathlessness, chest pain,",Peptic ulcer diseae
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Peptic ulcer diseae
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",(vertigo) Paroymsal  Positional Vertigo
"continuous sneezing, shivering, watering from eyes,",hepatitis A
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Arthritis
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Chicken pox
"muscle weakness, stiff neck, swelling joints, movement stiffness",(vertigo) Paroymsal  Positional Vertigo
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Malaria
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Tuberculosis
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Malaria
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",hepatitis A
"itching, skin rash, stomach pain, burning micturition",Dengue
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis C
"muscle weakness, stiff neck, swelling joints, movement stiffness",Hypertension
"burning micturition, bladder discomfort, foul smell of urine,",Hepatitis D
"fatigue, cough, breathlessness, family history, mucoid sputum",Allergy
"chills, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Allergy
"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,",Bronchial Asthma
"chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",(vertigo) Paroymsal  Positional Vertigo
"itching, skin rash, stomach pain, burning micturition",Alcoholic hepatitis
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Tuberculosis
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hypoglycemia
"stomach pain, acidity, vomiting, cough, chest pain",Osteoarthristis
"itching, skin rash, burning micturition, spotting  urination",Hepatitis D
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Alcoholic hepatitis
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Bronchial Asthma
"muscle weakness, stiff neck, swelling joints, movement stiffness",hepatitis A
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Dengue
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Paralysis (brain hemorrhage)
"joint pain, neck pain, knee pain, swelling joints, painful walking",Bronchial Asthma
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",GERD
"vomiting, breathlessness, chest pain,",Paralysis (brain hemorrhage)
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Bronchial Asthma
"chills, fatigue, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Gastroenteritis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Varicose veins
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Osteoarthristis
"vomiting, breathlessness, sweating,",Alcoholic hepatitis
"vomiting, breathlessness, chest pain,",Pneumonia
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Fungal infection
"itching, skin rash, burning micturition, spotting  urination",Cervical spondylosis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Tuberculosis
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Typhoid
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Peptic ulcer diseae
"vomiting, breathlessness, chest pain,",Hepatitis E
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Drug Reaction
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Diabetes
"itching, skin rash, stomach pain, spotting  urination",Allergy
"acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Psoriasis
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Drug Reaction
"skin rash, nodal skin eruptions, dischromic  patches,",GERD
"itching, skin rash, dischromic  patches,",Fungal infection
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Hypothyroidism
"fatigue, yellowish skin, nausea, loss of appetite, family history",Heart attack
"skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",Chicken pox
"skin rash, pus filled pimples, scurring,",Urinary tract infection
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Gastroenteritis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Impetigo
"itching, skin rash, burning micturition, spotting  urination",Chicken pox
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hypothyroidism
"itching, vomiting, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Tuberculosis
"vomiting, headache, spinning movements, loss of balance, unsteadiness",(vertigo) Paroymsal  Positional Vertigo
"vomiting, fatigue, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Urinary tract infection
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hypertension
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Pneumonia
"skin rash, blister, red sore around nose, yellow crust ooze",Malaria
"continuous sneezing, shivering, chills,",Pneumonia
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hypertension
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Hepatitis E
"burning micturition, bladder discomfort, continuous feel of urine,",Arthritis
"headache, dizziness, loss of balance, lack of concentration",Malaria
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Dimorphic hemmorhoids(piles)
"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Tuberculosis
"skin rash, nodal skin eruptions, dischromic  patches,",Cervical spondylosis
"chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, belly pain,",Hepatitis C
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Gastroenteritis
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Jaundice
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Typhoid
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Alcoholic hepatitis
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Psoriasis
"fatigue, nausea, loss of appetite, yellowing of eyes, family history",Heart attack
"itching, stomach pain, burning micturition, spotting  urination",Bronchial Asthma
"acidity, ulcers on tongue, vomiting, cough, chest pain",Cervical spondylosis
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",Hepatitis C
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Migraine
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Urinary tract infection
"burning micturition, bladder discomfort, continuous feel of urine,",Hepatitis E
"vomiting, breathlessness, chest pain,",Heart attack
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,",Hepatitis C
"vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Varicose veins
"vomiting, indigestion, loss of appetite, passage of gases, internal itching","Chronic cholestasis,"
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Varicose veins
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Dimorphic hemmorhoids(piles)
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Tuberculosis
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Migraine
"stomach pain, acidity, ulcers on tongue, cough, chest pain",Hypoglycemia
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Arthritis
"constipation, pain during bowel movements, bloody stool, irritation in anus",Hypertension
"skin rash, pus filled pimples, scurring,",Paralysis (brain hemorrhage)
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Jaundice
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Typhoid
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Common Cold
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Dengue
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Hypoglycemia
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Jaundice
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hepatitis D
"itching, skin rash, stomach pain, spotting  urination",Migraine
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Jaundice
"constipation, pain in anal region, bloody stool, irritation in anus",Hypertension
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Heart attack
